commit,package,additions,deletions,LOC,change
25f7a4d5dac3b7d4bebaed41ef43bf37d1e86814,org.apache.tika.detect,1,67,1764,-66
e910698ed42888d0c30dde88f2ceac7b2f841b98,org.apache.tika.detect,1,1,1764,0
6d7b5d433152220cff25f88b5a28c00154ac5393,org.apache.tika.detect,145,10,1899,135
17529470f534107f17da6f5632d40c857f8886ee,org.apache.tika.detect,1,0,1900,1
1cbd62ac78ebfa918a96735ec7e3f430692a6a7d,org.apache.tika.detect,7,0,1907,7
78f6eac056f8298cdcb80381a1628023a2392a4d,org.apache.tika.detect,69,34,1942,35
ba101bb023a9553d0b5c22b0b625d0a0f1b8a707,org.apache.tika.detect,35,2,1975,33
2b39c7599a9930f8847f8839e9612ae5cdc56407,org.apache.tika.detect,42,10,2007,32
1b01e4f1d943437f29f414dd75a3fa52a05e8d67,org.apache.tika.detect,9,2,2014,7
4885ea7e2eb8a557879a08be9eae85224b718063,org.apache.tika.detect,6,0,2020,6
96c92f509db1f424147ac0f1b7a5cfcfe6211435,org.apache.tika.detect,1,1,2020,0
e735a659560602a1372c5aa64b3ee2475f0d1a67,org.apache.tika.detect,41,0,2061,41
50437f30e0a6c6969be162dc1e768ab061e67dac,org.apache.tika.detect,1,0,2062,1
853fea00ee10fc660470643162e430a5be555560,org.apache.tika.detect,21,3,2080,18
75d487d306d75995484f1d010ab7e712dd2026eb,org.apache.tika.detect,6,0,2086,6
57a99d012bc43d04ded8e7d88e056680542b405f,org.apache.tika.detect,42,2,2126,40
7c43bff1a585550a2e1854e5de05c37c56ec7cde,org.apache.tika.detect,9,0,2135,9
5498c0eeea7d2a5d6d314bcddc7d307830e97c27,org.apache.tika.detect,2,1,2136,1
a547dde812cce268518796e116f63ef0a3f4c8f3,org.apache.tika.detect,40,0,2176,40
fbd2d6db793746fbb5f605731157b5181dd6ee9d,org.apache.tika.detect,1,1,2176,0
16c92d0345873591dab9f9fad199d83fe11ce7b1,org.apache.tika.detect,40,27,2189,13
d8e91b6beb45376a351305c53698ccca98177462,org.apache.tika.detect,5,0,2194,5
3ffc69f708beda7886fe2ebd51b4b3543851a91e,org.apache.tika.detect,181,19,2356,162
9e38af6975e80ffdc8ca028f0abdd6ed1e4f5fbd,org.apache.tika.detect,4,0,2360,4
929c8972a112ac75e5bec8120f0df5d7e5d5ec60,org.apache.tika.detect,60,1,2419,59
6621297537770ca9149e06ee2977483009f8860f,org.apache.tika.detect,122,0,2541,122
