Project Name,Package Name,Architecture Smell,Cause of the Smell,Tag,root
tika,org.apache.tika.sax,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42,1.8-rc2,../tika/tika-core/src/main/java/org/apache/tika/sax
tika,org.apache.tika.server,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 40,1.25-rc1,../tika/tika-server/src/main/java/org/apache/tika/server
tika,org.apache.tika.sax,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33,1.1,../tika/tika-core/src/main/java/org/apache/tika/sax
tika,org.apache.tika.example,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 49,1.13,../tika/tika-example/src/main/java/org/apache/tika/example
tika,org.apache.tika.batch,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31,1.18,../tika/tika-batch/src/main/java/org/apache/tika/batch
tika,org.apache.tika.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32,1.13,../tika/tika-parsers/src/main/java/org/apache/tika/parser
tika,org.apache.tika.sax,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42,1.7-rc2,../tika/tika-core/src/main/java/org/apache/tika/sax
tika,org.apache.tika.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39,1.18,../tika/tika-parsers/src/main/java/org/apache/tika/parser
tika,org.apache.tika.detect,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31,1.15,../tika/tika-core/src/main/java/org/apache/tika/detect
tika,org.apache.tika.detect,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32,1.19,../tika/tika-core/src/main/java/org/apache/tika/detect
tika,org.apache.tika.mime,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34,1.25-rc2,../tika/tika-core/src/main/java/org/apache/tika/mime
tika,org.apache.tika.metadata,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34,1.15-rc1,../tika/tika-core/src/main/java/org/apache/tika/metadata
tika,org.apache.tika.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36,1.14-rc1,../tika/tika-parsers/src/main/java/org/apache/tika/parser
tika,org.apache.tika.parser.txt,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 74,1.2,../tika/tika-parsers/src/main/java/org/apache/tika/parser/txt
tika,org.apache.tika.parser.txt,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 74,1.7-rc2,../tika/tika-parsers/src/main/java/org/apache/tika/parser/txt
tika,org.apache.tika.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43,1.21,../tika/tika-parsers/src/main/java/org/apache/tika/parser
tika,org.apache.tika.detect,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32,1.20,../tika/tika-core/src/main/java/org/apache/tika/detect
tika,org.apache.tika.sax,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43,1.10-rc1,../tika/tika-core/src/main/java/org/apache/tika/sax
tika,org.apache.tika.server,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 38,1.24.1,../tika/tika-server/src/main/java/org/apache/tika/server
tika,org.apache.tika.parser.txt,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 74,1.10,../tika/tika-parsers/src/main/java/org/apache/tika/parser/txt
tika,org.apache.tika.batch,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31,1.17,../tika/tika-batch/src/main/java/org/apache/tika/batch
tika,org.apache.tika.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43,1.19.1-rc1,../tika/tika-parsers/src/main/java/org/apache/tika/parser
tika,org.apache.tika.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32,1.12-rc1,../tika/tika-parsers/src/main/java/org/apache/tika/parser
tika,org.apache.tika.example,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 49,1.13-rc1,../tika/tika-example/src/main/java/org/apache/tika/example
tika,org.apache.tika.fork,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32,1.24.1,../tika/tika-core/src/main/java/org/apache/tika/fork
tika,org.apache.tika.parser.txt,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 63,1.15-rc1,../tika/tika-parsers/src/main/java/org/apache/tika/parser/txt
